,광역시도,시도,입점수,ID
0,강원도,원주시,1,원주
1,경기도,광명시,1,광명
2,경기도,구리시,1,구리
3,경기도,군포시,1,군포
4,경기도,권선구,1,수원 권선
5,경기도,기흥구,1,용인 기흥
6,경기도,김포시,2,김포
7,경기도,남양주시,1,남양주
8,경기도,덕양구,1,고양 덕양
9,경기도,동안구,3,안양 동안
10,경기도,만안구,1,안양 만안
11,경기도,분당구,9,성남 분당
12,경기도,소사구,1,부천 소사
13,경기도,수정구,1,성남 수정
14,경기도,수지구,1,용인 수지
15,경기도,영통구,2,수원 영통
16,경기도,원미구,3,부천 원미
17,경기도,이천시,1,이천
18,경기도,일산동구,4,고양 일산동
19,경기도,일산서구,2,고양 일산서
20,경기도,장안구,2,수원 장안
21,경기도,파주시,2,파주
22,경기도,팔달구,3,수원 팔달
23,경기도,평택시,1,평택
24,경기도,하남시,1,하남
25,경기도,화성시,5,화성
26,경상남도,성산구,1,창원 성산
27,경상남도,의창구,1,창원 의창
28,경상남도,진주시,1,진주
29,경상북도,경주시,1,경주
30,경상북도,북구,1,포항 북구
31,광주광역시,서구,1,광주 서구
32,대구광역시,중구,1,대구 중구
33,대전광역시,서구,2,대전 서구
34,부산광역시,기장군,1,부산 기장
35,부산광역시,부산진구,2,부산 부산진
36,부산광역시,수영구,1,부산 수영
37,부산광역시,중구,2,부산 중구
38,부산광역시,해운대구,2,부산 해운대
39,서울특별시,강남구,12,서울 강남
40,서울특별시,강동구,3,서울 강동
41,서울특별시,강북구,1,서울 강북
42,서울특별시,강서구,3,서울 강서
43,서울특별시,관악구,1,서울 관악
44,서울특별시,광진구,1,서울 광진
45,서울특별시,구로구,1,서울 구로
46,서울특별시,노원구,1,서울 노원
47,서울특별시,동대문구,2,서울 동대문
48,서울특별시,마포구,7,서울 마포
49,서울특별시,서대문구,1,서울 서대문
50,서울특별시,서초구,8,서울 서초
51,서울특별시,성북구,2,서울 성북
52,서울특별시,송파구,11,서울 송파
53,서울특별시,양천구,1,서울 양천
54,서울특별시,영등포구,3,서울 영등포
55,서울특별시,용산구,2,서울 용산
56,서울특별시,은평구,1,서울 은평
57,서울특별시,종로구,5,서울 종로
58,서울특별시,중구,3,서울 중구
59,서울특별시,중랑구,1,서울 중랑
60,세종특별자치시,세종특별자치시,1,세종
61,울산광역시,남구,2,울산 남구
62,인천광역시,남동구,1,인천 남동
63,인천광역시,부평구,1,인천 부평
64,인천광역시,연수구,2,인천 연수
65,인천광역시,중구,4,인천 중구
66,충청남도,동남구,1,천안 동남
67,충청북도,상당구,1,청주 상당
68,충청북도,흥덕구,1,청주 흥덕
