,광역시도,시도,입점수,ID
0,강원도,강릉시,4,강릉
1,강원도,동해시,1,동해
2,강원도,삼척시,4,삼척
3,강원도,원주시,25,원주
4,강원도,춘천시,16,춘천
5,강원도,홍천군,1,홍천
6,경기도,광명시,4,광명
7,경기도,광주시,4,광주
8,경기도,구리시,9,구리
9,경기도,군포시,64,군포
10,경기도,권선구,4,수원 권선
11,경기도,기흥구,81,용인 기흥
12,경기도,김포시,49,김포
13,경기도,남양주시,9,남양주
14,경기도,단원구,36,안산 단원
15,경기도,덕양구,25,고양 덕양
16,경기도,동안구,81,안양 동안
17,경기도,만안구,16,안양 만안
18,경기도,분당구,144,성남 분당
19,경기도,상록구,1,안산 상록
20,경기도,소사구,56,부천 소사
21,경기도,수정구,9,성남 수정
22,경기도,수지구,16,용인 수지
23,경기도,시흥시,49,시흥
24,경기도,안성시,1,안성
25,경기도,양평군,1,양평
26,경기도,영통구,25,수원 영통
27,경기도,오산시,9,오산
28,경기도,오정구,56,부천 오정
29,경기도,원미구,84,부천 원미
30,경기도,의왕시,4,의왕
31,경기도,의정부시,16,의정부
32,경기도,이천시,1,이천
33,경기도,일산동구,4,고양 일산동
34,경기도,일산서구,4,고양 일산서
35,경기도,장안구,9,수원 장안
36,경기도,중원구,9,성남 중원
37,경기도,처인구,4,용인 처인
38,경기도,파주시,36,파주
39,경기도,팔달구,16,수원 팔달
40,경기도,평택시,16,평택
41,경기도,포천시,1,포천
42,경기도,하남시,1,하남
43,경기도,화성시,144,화성
44,경상남도,거제시,4,거제
45,경상남도,거창군,1,거창
46,경상남도,고성군,4,고성(경남)
47,경상남도,김해시,9,김해
48,경상남도,마산합포구,1,창원 합포
49,경상남도,마산회원구,1,창원 회원
50,경상남도,성산구,1,창원 성산
51,경상남도,양산시,1,양산
52,경상남도,의창구,4,창원 의창
53,경상남도,진주시,16,진주
54,경상남도,통영시,9,통영
55,경상북도,경산시,9,경산
56,경상북도,경주시,4,경주
57,경상북도,구미시,9,구미
58,경상북도,북구,4,포항 북구
59,경상북도,안동시,4,안동
60,경상북도,예천군,1,예천
61,경상북도,울진군,1,울진
62,광주광역시,광산구,4,광주 광산
63,광주광역시,동구,16,광주 동구
64,광주광역시,북구,4,광주 북구
65,광주광역시,서구,9,광주 서구
66,대구광역시,달서구,36,대구 달서
67,대구광역시,달성군,4,대구 달성
68,대구광역시,동구,4,대구 동구
69,대구광역시,북구,25,대구 북구
70,대구광역시,수성구,1,대구 수성
71,대구광역시,중구,16,대구 중구
72,대전광역시,대덕구,4,대전 대덕
73,대전광역시,동구,16,대전 동구
74,대전광역시,서구,100,대전 서구
75,대전광역시,유성구,36,대전 유성
76,대전광역시,중구,49,대전 중구
77,부산광역시,금정구,9,부산 금정
78,부산광역시,기장군,1,부산 기장
79,부산광역시,남구,1,부산 남구
80,부산광역시,동래구,4,부산 동래
81,부산광역시,부산진구,9,부산 부산진
82,부산광역시,북구,9,부산 북구
83,부산광역시,사하구,1,부산 사하
84,부산광역시,수영구,1,부산 수영
85,부산광역시,연제구,1,부산 연제
86,부산광역시,중구,9,부산 중구
87,부산광역시,해운대구,16,부산 해운대
88,서울특별시,강남구,256,서울 강남
89,서울특별시,강동구,25,서울 강동
90,서울특별시,강북구,1,서울 강북
91,서울특별시,강서구,64,서울 강서
92,서울특별시,관악구,25,서울 관악
93,서울특별시,광진구,25,서울 광진
94,서울특별시,구로구,25,서울 구로
95,서울특별시,금천구,1,서울 금천
96,서울특별시,노원구,25,서울 노원
97,서울특별시,동대문구,25,서울 동대문
98,서울특별시,동작구,16,서울 동작
99,서울특별시,마포구,36,서울 마포
100,서울특별시,서대문구,16,서울 서대문
101,서울특별시,서초구,81,서울 서초
102,서울특별시,성동구,16,서울 성동
103,서울특별시,성북구,36,서울 성북
104,서울특별시,송파구,121,서울 송파
105,서울특별시,양천구,16,서울 양천
106,서울특별시,영등포구,36,서울 영등포
107,서울특별시,용산구,16,서울 용산
108,서울특별시,은평구,36,서울 은평
109,서울특별시,종로구,49,서울 종로
110,서울특별시,중구,49,서울 중구
111,서울특별시,중랑구,4,서울 중랑
112,세종특별자치시,세종특별자치시,9,세종
113,울산광역시,남구,25,울산 남구
114,울산광역시,동구,4,울산 동구
115,울산광역시,북구,1,울산 북구
116,울산광역시,울주군,1,울산 울주
117,울산광역시,중구,4,울산 중구
118,인천광역시,강화군,1,인천 강화
119,인천광역시,계양구,9,인천 계양
120,인천광역시,남구,25,인천 남구
121,인천광역시,남동구,324,인천 남동
122,인천광역시,부평구,4,인천 부평
123,인천광역시,서구,16,인천 서구
124,인천광역시,연수구,64,인천 연수
125,인천광역시,중구,16,인천 중구
126,전라남도,광양시,1,광양
127,전라남도,목포시,9,목포
128,전라남도,무안군,1,무안
129,전라남도,순천시,4,순천
130,전라남도,여수시,9,여수
131,전라북도,덕진구,1,전주 덕진
132,전라북도,완산구,25,전주 완산
133,전라북도,익산시,4,익산
134,전라북도,정읍시,1,정읍
135,제주특별자치도,서귀포시,36,서귀포
136,제주특별자치도,제주시,25,제주
137,충청남도,공주시,1,공주
138,충청남도,논산시,1,논산
139,충청남도,당진시,9,당진
140,충청남도,동남구,9,천안 동남
141,충청남도,보령시,1,보령
142,충청남도,서북구,25,천안 서북
143,충청남도,서산시,1,서산
144,충청남도,아산시,16,아산
145,충청남도,홍성군,4,홍성
146,충청북도,상당구,4,청주 상당
147,충청북도,서원구,9,청주 서원
148,충청북도,청원구,1,청주 청원
149,충청북도,충주시,1,충주
150,충청북도,흥덕구,4,청주 흥덕
