,광역시도,시도,입점수,ID
0,강원도,강릉시,3,강릉
1,강원도,고성군,1,고성(강원)
2,강원도,동해시,1,동해
3,강원도,속초시,3,속초
4,강원도,원주시,6,원주
5,강원도,춘천시,5,춘천
6,강원도,홍천군,3,홍천
7,경기도,과천시,3,과천
8,경기도,광명시,8,광명
9,경기도,광주시,2,광주
10,경기도,구리시,3,구리
11,경기도,군포시,4,군포
12,경기도,권선구,5,수원 권선
13,경기도,기흥구,10,용인 기흥
14,경기도,김포시,8,김포
15,경기도,남양주시,7,남양주
16,경기도,단원구,7,안산 단원
17,경기도,덕양구,10,고양 덕양
18,경기도,동두천시,2,동두천
19,경기도,동안구,10,안양 동안
20,경기도,만안구,3,안양 만안
21,경기도,분당구,36,성남 분당
22,경기도,상록구,2,안산 상록
23,경기도,소사구,1,부천 소사
24,경기도,수정구,2,성남 수정
25,경기도,수지구,11,용인 수지
26,경기도,시흥시,5,시흥
27,경기도,안성시,2,안성
28,경기도,양주시,4,양주
29,경기도,양평군,1,양평
30,경기도,여주시,3,여주
31,경기도,영통구,11,수원 영통
32,경기도,오산시,3,오산
33,경기도,원미구,12,부천 원미
34,경기도,의왕시,1,의왕
35,경기도,의정부시,10,의정부
36,경기도,이천시,5,이천
37,경기도,일산동구,13,고양 일산동
38,경기도,일산서구,9,고양 일산서
39,경기도,장안구,3,수원 장안
40,경기도,중원구,2,성남 중원
41,경기도,처인구,3,용인 처인
42,경기도,파주시,5,파주
43,경기도,팔달구,7,수원 팔달
44,경기도,평택시,5,평택
45,경기도,포천시,2,포천
46,경기도,하남시,9,하남
47,경기도,화성시,11,화성
48,경상남도,거제시,4,거제
49,경상남도,김해시,9,김해
50,경상남도,마산합포구,3,창원 합포
51,경상남도,마산회원구,4,창원 회원
52,경상남도,사천시,2,사천
53,경상남도,성산구,6,창원 성산
54,경상남도,양산시,7,양산
55,경상남도,의창구,4,창원 의창
56,경상남도,진주시,6,진주
57,경상남도,진해구,2,창원 진해
58,경상남도,통영시,1,통영
59,경상북도,경산시,6,경산
60,경상북도,경주시,7,경주
61,경상북도,구미시,9,구미
62,경상북도,김천시,2,김천
63,경상북도,남구,7,포항 남구
64,경상북도,문경시,1,문경
65,경상북도,북구,4,포항 북구
66,경상북도,안동시,2,안동
67,광주광역시,광산구,11,광주 광산
68,광주광역시,남구,7,광주 남구
69,광주광역시,동구,7,광주 동구
70,광주광역시,북구,10,광주 북구
71,광주광역시,서구,14,광주 서구
72,대구광역시,달서구,18,대구 달서
73,대구광역시,달성군,2,대구 달성
74,대구광역시,동구,8,대구 동구
75,대구광역시,북구,7,대구 북구
76,대구광역시,서구,1,대구 서구
77,대구광역시,수성구,18,대구 수성
78,대구광역시,중구,9,대구 중구
79,대전광역시,대덕구,4,대전 대덕
80,대전광역시,동구,4,대전 동구
81,대전광역시,서구,21,대전 서구
82,대전광역시,유성구,11,대전 유성
83,대전광역시,중구,7,대전 중구
84,부산광역시,강서구,2,부산 강서
85,부산광역시,금정구,7,부산 금정
86,부산광역시,기장군,3,부산 기장
87,부산광역시,남구,6,부산 남구
88,부산광역시,동구,2,부산 동구
89,부산광역시,동래구,7,부산 동래
90,부산광역시,부산진구,17,부산 부산진
91,부산광역시,북구,2,부산 북구
92,부산광역시,사상구,3,부산 사상
93,부산광역시,사하구,7,부산 사하
94,부산광역시,서구,3,부산 서구
95,부산광역시,수영구,7,부산 수영
96,부산광역시,연제구,5,부산 연제
97,부산광역시,중구,6,부산 중구
98,부산광역시,해운대구,27,부산 해운대
99,서울특별시,강남구,76,서울 강남
100,서울특별시,강동구,13,서울 강동
101,서울특별시,강북구,5,서울 강북
102,서울특별시,강서구,14,서울 강서
103,서울특별시,관악구,10,서울 관악
104,서울특별시,광진구,14,서울 광진
105,서울특별시,구로구,10,서울 구로
106,서울특별시,금천구,10,서울 금천
107,서울특별시,노원구,12,서울 노원
108,서울특별시,도봉구,2,서울 도봉
109,서울특별시,동대문구,8,서울 동대문
110,서울특별시,동작구,8,서울 동작
111,서울특별시,마포구,32,서울 마포
112,서울특별시,서대문구,21,서울 서대문
113,서울특별시,서초구,45,서울 서초
114,서울특별시,성동구,9,서울 성동
115,서울특별시,성북구,11,서울 성북
116,서울특별시,송파구,29,서울 송파
117,서울특별시,양천구,14,서울 양천
118,서울특별시,영등포구,35,서울 영등포
119,서울특별시,용산구,17,서울 용산
120,서울특별시,은평구,8,서울 은평
121,서울특별시,종로구,38,서울 종로
122,서울특별시,중구,50,서울 중구
123,서울특별시,중랑구,6,서울 중랑
124,세종특별자치시,세종특별자치시,7,세종
125,울산광역시,남구,13,울산 남구
126,울산광역시,동구,2,울산 동구
127,울산광역시,북구,4,울산 북구
128,울산광역시,울주군,1,울산 울주
129,울산광역시,중구,5,울산 중구
130,인천광역시,계양구,2,인천 계양
131,인천광역시,남동구,9,인천 남동
132,인천광역시,동구,1,인천 동구
133,인천광역시,미추홀구,4,인천 미추홀
134,인천광역시,부평구,9,인천 부평
135,인천광역시,서구,6,인천 서구
136,인천광역시,연수구,10,인천 연수
137,인천광역시,중구,7,인천 중구
138,전라남도,광양시,1,광양
139,전라남도,나주시,1,나주
140,전라남도,목포시,5,목포
141,전라남도,무안군,1,무안
142,전라남도,순천시,4,순천
143,전라남도,여수시,5,여수
144,전라북도,군산시,2,군산
145,전라북도,덕진구,4,전주 덕진
146,전라북도,완산구,9,전주 완산
