,Name,Address,Lat,Log
0,서초동점, 서울특별시 서초구 반포대로70 ,37.48669594836945,127.01053356053066
1,교대법원점, 서울 서초구 서초중앙로 156,37.49563363637424,127.01353830115815
2,동대입구역점, 서울시 중구 장충동2가 188-11,37.5597351753,127.0052198544
3,잠실향군타워점,  서울특별시 송파구 올림픽로35길 123 1층 ,37.5165772506,127.1012240086
4,종로센트로폴리스점, 서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,37.5714975647,126.9836587886
5,상수역점, 서울시 마포구 와우산로10길 3,37.548127077,126.9231854432
6,종로구청앞점, 서울특별시 종로구 종로3길 34 ,37.5718753301,126.9794794281
7,경희대점, 서울시 동대문구 경희대로 10 (회기동) ,37.5924044134,127.0526652102
8,문정동환인제약빌딩점, 서울특별시 송파구 법원로6길 11 환인빌딩 1층  ,37.48366344805654,127.12225036929931
9,새문안로점, 서울특별시 종로구 새문안로 91 고려빌딩 1,37.5704868832,126.9747617952
10,선릉역3번출구세방빌딩점, 서울특별시 강남구 선릉로 433 세방빌딩 1층 ,37.5037729841,127.0489159828
11,신용산역래미안점, 서울시 용산구 한강대로95 ,37.5288190969,126.9666528833
12, IFC MALL3호점, 서울시 영등포구 국제금융로10 IFC Mall L2(2층) ,37.5251778863,126.9248787429
13,방이역4번출구점, 서울 송파구 방이동 206-11 ,37.5093528229,127.125789418
14,마곡마커스빌딩점 , 서울특별시 강서구 마곡동로 55 마커스빌딩 1층 ,37.5600677343,126.8330364132
15,양천향교역점, 서울특별시 강서구 강서로 457(마곡동) ,37.5662443594,126.8404206987
16,응암동점 , 서울시 은평구 은평로 121(응암동),37.6004446486,126.9210933403
17,동교동삼거리점, 서울특별시 마포구 양화로 196(동교동) ,37.5583789503,126.9265204551
18,논현201-5번지점, 서울특별시 강남구  강남대로112길 20 1층,37.5055101692,127.0260532395
19,한티역디마크빌딩점, 서울특별시 강남구 도곡로 408 디마크빌딩 1층 ,37.4966234189,127.0552350053
20,한성대입구역점, 서울특별시 성북구 삼선교로 12 1층 ,37.5875902317,127.0071420442
21,혜화역1번출구점, 서울특별시 종로구 대학로 128 2층 ,37.5827034415,127.0021556061
22,위례2차아이파크점, 서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층 ,37.478618817,127.1437592186
23,신논현역2번출구점, 서울시 서초구 강남대로 475 2층 ,37.5047249562,127.0238588898
24,합정푸르지오점, 서울특별시 마포구 월드컵로 3길 14,37.5510094108,126.9116485435
25,현대시티몰가든파이브점, 서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층 ,37.477613041,127.1249628964
26,여의도SK증권빌딩점, 서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층 ,37.5197450229,126.928065107
27,구의삼성쉐르빌점, 서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층 ,37.5398571742,127.0948964555
28,강북구청앞점, 서울특별시 강북구 한천로 139길 25,37.6390953704,127.0257236595
29,도곡동지오빌딩점, 서울특별시 강남구 도곡동 543-1,37.4922392747,127.041675997
30,몽촌토성역점, 서울시 송파구 방이동 44-2,37.5169307868,127.1127803263
31,종각역점, 서울시 종로구 종로 70 2층 ,37.5699120126,126.9851714234
32,합정역점, 서울시 마포구 독막로 13,37.5488134814,126.9150641404
33,노원역점, 서울시 노원구 노해로 490,37.6544092001,127.0624094522
34,강동경희대병원앞점, 서울특별시 강동구 동남로 885 양지빌딩 1층 ,37.5526549472,127.1559741804
35,상봉역점, 서울특별시 중랑구 망우로 291 1층 ,37.5964473768,127.0847906791
36,문정역엠스테이트점, 서울 송파구 문정동 643-1번지 엠스테이트 B동 지하1층 ,37.4860541974,127.1210105111
37,송파파크하비오점, 서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113 ,37.47966739494643,127.12491204911528
38,서초부띠크모나코점, 서울특별시 서초구 서초대로 397 부띠크모나코 1층 ,37.4974338814,127.0245169907
39,강남역12번출구점, 서울특별시 강남구 테헤란로 111 2층 ,37.498881615,127.0292807277
40,송파파크하비오B1점, 서울특별시 송파구 송파대로 111,37.4796673949,127.1249120491
41, 홍대역8번출구점, 서울시 마포구 양화로18안길 7 2층 ,37.5568283344,126.9250869133
42,천호역점, 서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층 ,37.5403063842,127.1235648143
43,잠원논현역점, 서울시 서초구 신반포로47길 5 건물전체 1~3층 ,37.5109607184,127.0194497345
44,역삼동태광타워점, 서울시 강남구 역삼동 718-20  태광타워 1층 ,37.5010229051,127.0398849909
45,문래동점, 서울시 영등포구 문래동6가 5번지 1층 ,37.5196463349,126.8890435931
46,매헌역점, 서울시 서초구 동산로 1  1층 ,37.46900819,127.0401392782
47,대치사거리점, 서울시 강남구 삼성로 352 창진빌딩 1층 및 2층 ,37.5030439339,127.0590713663
48,서초역1번출구점, 서울시 서초구 서초대로 250 스타갤러리 브릿지 1층 101호 ,37.4919759673,127.0091728486
49,장안점, 서울시 동대문구 장안동 372-1,37.5709478606,127.0704989682
50,연대동문회관점, 서울시 서대문구 대신동 50-5 1층,37.563094983,126.9432490802
51,상암DDMC점, 서울시 마포구 상암동 1610번지 DDMC 지하 1층 ,37.5784526551,126.8929141443
52,강서그랜드아이파크점, 서울시 강서구 화곡6동 1095번지 1층 ,37.5548554949,126.8512506837
53,신논현역점, 서울특별시 강남구 봉은사로108 글라스톤빌딩1층 ,37.5045335804035,127.025591466622
54,대치동나무병원점, 서울특별시 강남구 영동대로 225 나무병원1층 (대치동994-5) ,37.4992587229563,127.067631444505
55,구로AK플라자점, 서울특별시 구로구 구로중앙로 152 (구로동) AK플라자구로점1층 ,37.5011588838246,126.882774031717
56,상암한국지역정보개발원점, 서울시 마포구 성암로301 KLID한국지역정보개발원 1층 ,37.5824700686653,126.887936022633
57,포스코옆삼성로86길점, 서울특별시 강남구 삼성로86길 11 거봉빌딩 1층 ,37.5058951024001,127.058290971152
58,삼성역글라스타워뒷점, 서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층 ,37.5070560,127.0628870
59,예술의전당앞점, 서울특별시 서초구 반포대로4(서초동) 2층,37.4812247584,127.0131829497
60,고대참살이길점, 서울시 성북구 인촌로24길 25 (안암동5가) 2층,37.5850495541,127.0295454105
61,올림픽공원북2문앞점, 서울시 강동구 강동대로193 1층 ,37.524348,127.128258
