,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,동해DT,37.520193,129.114767,강원,동해시 ,강원도 동해시 중앙로 219 (천곡동),033-532-3314
1,설악쏘라노,38.21059,128.528526,강원,속초시,강원도 속초시 미시령로2983번길 111 (장사동),033-637-3402
2,속초DT,38.1898709,128.58441240000002,강원,속초시,강원도 속초시 동해대로 4114 (조양동),033-633-7989
3,속초중앙로,38.202593,128.589453,강원,속초시,강원도 속초시 중앙로 123 (금호동),033-637-8617
4,춘천후평DT,37.879435,127.750579,강원,춘천시,강원도 춘천시 후석로 318 (후평동),033-257-3287
5,춘천석사DT,37.856608,127.739326,강원,춘천시,강원도 춘천시 후석로 13 (석사동),033-262-2634
6,춘천명동,37.87999215,127.7275212,강원,춘천시,강원도 춘천시 중앙로 57 (중앙로2가),033-242-8266
7,춘천이마트,37.86381381,127.71833,강원,춘천시,강원도 춘천시 경춘로 2353 (온의동) E-마트 춘천점내 1층,033-241-1974
8,강원대,37.872749,127.745062,강원,춘천시,강원도 춘천시 서부대성로 243-1 (효자동),033-256-8490
9,오션월드입구,37.648815,127.686053,강원,홍천군,강원도 홍천군 한치골길 262 (서면) 대명비발디파크 오션월드,033-435-9804
10,대명비발디,37.645094,127.682234,강원,홍천군,강원도 홍천군 한치골길 262 (서면) 대명비발디파크,033-434-1025
11,오션월드,37.648815,127.686053,강원,홍천군,강원도 홍천군 한치골길 262 (서면) 대명비발디파크 오션월드,033-434-9805
12,강릉교동광장,37.764312,128.877061,강원,강릉시,강원도 강릉시 교동광장로 114 (교동),033-642-3463
13,강릉중앙로,37.7544531,128.8962224,강원,강릉시,강원도 강릉시 경강로 2096 (임당동),033-645-7835
14,강릉안목항,37.771376,128.948725,강원,강릉시,강원도 강릉시 창해로14번길 40 (견소동),033-653-8628
15,대명델피노,38.212094,128.493948,강원도,고성군,강원도 고성군 토성면 미시령옛길 1153,033-636-8697
16,원주반곡DT,37.319904,127.97157,강원도,원주시,강원도 원주시 동부순환로 37 (반곡동),033-762-3664
17,원주명륜DT,37.335971,127.949754,강원도,원주시,강원도 원주시 남원로 588 (명륜동),033-764-2760
18,원주무실,37.332972,127.930448,강원도,원주시,강원도 원주시 능라동길 73 (무실동),033-745-3448
19,원주혁신도시,37.323157,127.980611,강원도,원주시,강원도 원주시 혁신로 61 (반곡동),033-747-3341
20,원주단구,37.330449,127.949266,강원도,원주시,"강원도 원주시 서원대로 402, 대신프라자 101,102,103호 (단구동)",033-766-8611
21,원주터미널,37.343887,127.9311,강원도,원주시,강원도 원주시 서원대로 178 (단계동),033-748-7545
