,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,일산애니골DT,37.6748,126.793181,경기,고양시 일산동구,경기도 고양시 일산동구 무궁화로 294 (풍동),031-903-3601
1,동국대일산병원,37.676411,126.806405,경기,고양시 일산동구,경기도 고양시 일산동구 식사동 814 경기도 고양시 일산동구 동국로 27,031-961-9180
2,일산풍동DT,37.662091,126.8009,경기,고양시 일산동구,경기도 고양시 일산동구 백마로 475 (풍동),031-903-3461
3,백석중앙로,37.6411,126.790987,경기,고양시 일산동구,경기도 고양시 일산동구 강송로 33 (백석동),031-849-6688
4,일산식사,37.6779381,126.812161,경기,고양시 일산동구,경기도 고양시 일산동구 위시티2로11번길 31 (식사동),031-968-8814
5,풍산이마트,37.673769,126.786883,경기,고양시 일산동구,경기도 고양시 일산동구 무궁화로 237 (중산동),031-977-8795
6,백석역DT,37.6439377,126.7873856,경기,고양시 일산동구,"경기도 고양시 일산동구 중앙로 1054, 1층 (백석동)",031-903-8618
7,백석,37.643888,126.786153,경기,고양시 일산동구,경기도 고양시 일산동구 중앙로 1059 (백석동),031-907-6755
8,라페스타광장,37.66011,126.76991,경기,고양시 일산동구,경기도 고양시 일산동구 중앙로1275번길 38-9 (장항동),031-908-8625
9,일산백마,37.6570742,126.7880695,경기,고양시 일산동구,경기도 고양시 일산동구 일산로 237 (마두동),031-904-7968
10,웨스턴돔B,37.654744,126.77261900000008,경기,고양시 일산동구,경기도 고양시 일산동구 정발산로 24 (장항동),031-931-5283
11,마두역,37.652965,126.776768,경기,고양시 일산동구,경기도 고양시 일산동구 중앙로 1191 (장항동),031-907-6482
12,일산동구청,37.656696,126.77312,경기,고양시 일산동구,"경기도 고양시 일산동구 정발산로 이스턴시티 38번지 116,117호",031-904-7521
13,과천DT,37.439309,126.99377,경기,과천시,경기도 과천시 중앙로 277 (중앙동),02-504-3497
14,과천이마트,37.42629945,126.991852,경기,과천시,경기도 과천시 별양상가3로 11 이마트 1층(별양동),02-758-8033
15,과천,37.428183,126.991074,경기,과천시,"경기도 과천시 중앙로 129, 고려빌딩 1층 (중앙동)",02-758-8369
16,광명하안대로,37.4616837,126.8783697,경기,광명시,경기도 광명시 범안로 1036 (하안동),02-897-3672
17,광명역,37.416562,126.88083,경기,광명시,"경기도 광명시 양지로 16 (일직동, 광명역써밋플레이스)",02-898-3617
18,광명소하DT,37.435072,126.879143,경기,광명시,경기도 광명시 오리로 361 (소하동),02-898-3671
19,광명소하,37.44866,126.883959,경기,광명시,경기도 광명시 금하로 464 (소하동),02-897-3386
20,광명사거리역,37.479895,126.854325,경기,광명시,경기도 광명시 광명로 907 (광명동),02-2619-3389
21,철산로데오,37.4739663,126.86935070000004,경기,광명시,경기도 광명시 디지털로 17 (철산1동) 가림빌딩,02-2689-3192
22,광명하안,37.462605,126.880577,경기,광명시,경기도 광명시 범안로 1060 (하안동),02-758-8825
23,광명철산,37.475412,126.865869,경기,광명시,경기도 광명시 오리로 865 (철산동),02-2625-5466
24,경기광주신현DT,37.36005,127.153125,경기,광주시,경기도 광주시 오포읍 태재로 37 ,031-717-3566
25,경기광주,37.4097851,127.26021279999998,경기,광주시,경기도 광주시 광주대로 35 (경안동),031-765-9893
26,구리갈매역,37.633967,127.115944,경기,구리시,경기 구리시 경춘북로252 A101 ,031-572-3631
27,구리인창,37.60688,127.13896,경기,구리시,"경기도 구리시 건원대로 67, 1층 (인창동)",031-568-8682
28,구리돌다리,37.600585,127.141922,경기,구리시,"경기도 구리시 검배로 5, 우진빌딩 (수택동)",031-567-8593
29,산본사거리,37.372658,126.935735,경기,군포시,경기도 군포시 고산로701 ,031-392-3638
30,산본,37.36061352,126.9317436,경기,군포시,"경기도 군포시 산본로343번길 9, 성진빌딩 1층 (산본동)",031-391-8216
31,산본역,37.358087,126.931956,경기,군포시,"경기도 군포시 번영로 497, 금화프라자 1층 (산본동)",031-392-8435
32,산본동,37.365491,126.929426,경기,군포시,"경기도 군포시 산본로 398, 태주빌딩 2층",031-398-9447
33,남양주연평DT,37.7113167,127.1853201,경기,남양주시,경기 남양주시 진접읍 해밀예당1로27 ,031-529-3642
34,남양주진접DT,37.723076,127.190357,경기,남양주시,경기도 남양주시 진접읍 금강로 1477 ,031-529-3287
35,리버사이드팔당DTR,37.567114,127.228362,경기,남양주시,경기도 남양주시 와부읍 경강로 772 ,031-577-3227
36,별내불암로,37.650317,127.112364,경기,남양주시,경기도 남양주시 별내5로5번길 15 (별내동),031-575-3328
37,평내DT,37.6477605,127.23469380000006,경기,남양주시,경기도 남양주시 경춘로 1269,031-591-5938
38,별내,37.6479682,127.1233987,경기,남양주시,경기도 남양주시 별내중앙로 64 1-2층,031-572-1861
39,평내호평역,37.6540359,127.24287989999993,경기,남양주시,"경기도 남양주시 늘을1로16번길 25, 성보빌딩 (호평동)",031-595-4597
40,역곡역DT,37.4835239,126.8093104,경기,부천시 소사구,경기도 부천시 소사구 경인로 485,032-349-7884
41,중동이마트,37.504022,126.763939,경기,부천시 원미구,경기도 부천시 원미구 석천로 188 (중동),032-327-3356
42,현대중동,37.50428252,126.7621682,경기,부천시 원미구,"경기도 부천시 원미구 길주로 180, 현대백화점부천중동점 중동점 지하1층 (중동)",032-623-2872
43,부천플레이도시,37.49991091,126.7449246,경기,부천시 원미구,경기도 부천시 원미구 조마루로 2 (상동),032-220-7988
44,송내역,37.488389,126.752604,경기,부천시 원미구,"경기도 부천시 원미구 부일로 204, 루치올라빌딩 (상동)",032-323-8434
45,부천,37.485054,126.782117,경기,부천시 원미구,"경기도 부천시 원미구 부천로 7, 1,2층 (심곡동)",032-612-8531
46,부천상동,37.5051779,126.75242359999993,경기,부천시 원미구,경기도 부천시 원미구 상동로 87 (상동),032-325-8433
47,판교알파돔타워,37.3941783,127.1106448,경기,성남시 분당구,경기도 성남시 분당구 판교역로 152 (백현동),031-622-7191
48,판교아비뉴프랑R,37.397965,127.113162,경기,성남시 분당구,"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)",031-702-3603
49,야탑터미널,37.413494,127.128425,경기,성남시 분당구,경기도 성남시 분당구 성남대로925번길 16 (야탑동),031-705-3449
50,분당이매,37.39504,127.122363,경기,성남시 분당구,경기도 성남시 분당구 이매로 15 (이매동),031-8017-3439
51,분당율동공원,37.38385,127.149963,경기,성남시 분당구,경기도 성남시 분당구 새마을로175번길 4 (율동),031-703-3403
52,정자동,37.36329,127.114074,경기,성남시 분당구,경기도 성남시 분당구 정자로 82 (정자동),031-712-3290
