,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,김해구산DT,35.255678,128.866418,경남,김해시,경상남도 김해시 김해대로 1918 (구산동),055-332-3585
1,신세계김해R,35.229471,128.872823,경남,김해시,경상남도 김해시 전하로304번길 24 (외동) 신세계백화점 1층,055-272-1142
2,김해이마트,35.229471,128.872823,경남,김해시,경상남도 김해시 전하로304번길 24 (외동) 김해 이마트 1층,055-327-3303
3,김해인제대,35.2436107,128.904162,경남,김해시,경상남도 김해시 인제로 168 (어방동),055-337-4885
4,김해대로DT,35.227992,128.896545,경남,김해시,경상남도 김해시 김해대로 (삼정동),055-338-9826
5,김해외동DT,35.2293661,128.86279760000002,경남,김해시,경상남도 김해시 분성로 146 (외동),055-326-8772
6,김해율하,35.176597,128.812782,경남,김해시,경상남도 김해시 율하3로91번길 30-5,055-323-3704
7,김해삼계,35.261527,128.871614,경남,김해시,경상남도 김해시 가야로 182 (삼계동),055-312-8561
8,김해내동,35.2371519,128.86752079999997,경남,김해시,경상남도 김해시 경원로 67 (내동),055-338-7421
9,경남사천DT,35.081409,128.083669,경남,사천시,경상남도 사천시 사천읍 사천대로 1846,055-854-3711
10,사천벌리,34.9411367,128.0863809,경남,사천시,경상남도 사천시 주공로 31 (벌리동),055-832-8782
11,진주평거,35.172324,128.060063,경남,진주시,경상남도 진주시 진양호로 206 BYC빌딩1층,055-741-3216
12,진주칠암DT,35.174907,128.092942,경남,진주시,경상남도 진주시 진주대로829번길 2 (주약동),055-761-8976
13,경남과기대,35.1789792,128.0947936,경남,진주시,경상남도 진주시 동진로 34 (칠암동),055-761-8781
14,진주중안,35.192977,128.082987,경남,진주시,경상남도 진주시 진양호로527번길 3 (중안동),055-747-8717
15,진주신안,35.184237,128.067852,경남,진주시,경상남도 진주시 진양호로 353 (신안동),055-748-7642
16,진주경상대,35.15241245,128.1057139,경남,진주시,경상남도 진주시 진주대로 510 (가좌동),055-753-8285
