,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,경산중방DT,35.827736,128.736944,경북,경산시,경상북도 경산시 경안로 222 (중방동),053-814-3316
1,영남대아트센터,35.8321641,128.7518856,경북,경산시,경상북도 경산시 대학로 280 (대동) 영남대학교,053-814-8806
2,영남대중앙도서관,35.8331655,128.7580143,경북,경산시,경상북도 경산시 대학로 280 (조영동) 영남대학교,053-811-8780
3,영남대,35.836968,128.753065,경북,경산시,"경상북도 경산시 청운로 16, 1~3층 (대동)",053-811-8675
4,대구가톨릭대,35.907786,128.812463,경북,경산시,경상북도 경산시 하양읍 하양로 18,053-854-8650
5,경산이마트,35.83571847,128.7197969,경북,경산시,경상북도 경산시 옥산로 227 (중산동) 경산이마트,053-813-1970
6,경주보문,35.836607,129.284983,경북,경주시,경상북도 경주시 보문로 537 (천군동),054-771-3412
7,경주터미널DT,35.838226,129.203324,경북,경주시,경상북도 경주시 태종로 686 (사정동),054-743-3220
8,경주황성,35.8638933,129.21298109999998,경북,경주시,경상북도 경주시 황성로1번길 4 (황성동),054-741-8945
9,경주대릉원,35.8339927,129.2149807,경북,경주시,경상북도 경주시 첨성로 125 (황남동),054-773-8774
10,경주보문호수DT,35.8532391,129.2686877,경북,경주시,경상북도 경주시 보문로 132-6 (북군동),054-741-0040
11,경주중앙,35.842119,129.212469,경북,경주시,경상북도 경주시 원효로 105-1 (노동동),054-749-8577
12,경주보문로DT,35.838831,129.285953,경북,경주시,"경상북도 경주시 보문로 510-6, 외 1번지(신평동 719-220) (천군동)",054-745-8527
13,구미상모DT,36.0823172,128.35638470000004,경북,구미시,경상북도 구미시 금오대로 439 (상모동),054-462-3613
14,구미도량DT,36.138474,128.316815,경북,구미시,경상북도 구미시 야은로 312 (도량동),054-452-3541
15,구미옥계,36.138285,128.419563,경북,구미시,경상북도 구미시 옥계북로 20 (양포동),054-476-4233
16,구미시청DT,36.1176314,128.34160680000002,경북,구미시,경상북도 구미시 송정대로 27 (송정동),054-451-8951
17,구미인의,36.1069986,128.4207103,경북,구미시,경상북도 구미시 인동중앙로 15 (인의동),054-476-8796
18,구미금오산DT,36.12245,128.323746,경북,구미시,경상북도 구미시 금오산로 205 (남통동),054-454-8681
19,구미,36.12817066,128.3326941,경북,구미시,경상북도 구미시 구미중앙로 94 (원평동),054-454-5430
20,구미인동,36.10809343,128.4183751,경북,구미시,"경상북도 구미시 인동가산로 9-3, 노블레스타워 1층 (황상동)",054-474-8260
21,구미공단,36.101533,128.385933,경북,구미시,"경상북도 구미시 1공단로 212, HALLA SIGMA VALLEY 106 (공단동)",054-461-7440
22,포항쌍용DT,36.0155,129.352589,경북,포항시 남구,경상북도 포항시 남구 중흥로 122 (상도동),054-284-3436
23,포항오천,35.9642032,129.4027158,경북,포항시 남구,경상북도 포항시 남구 오천읍 원동로 15,054-293-8974
24,포항대도동,36.0176223,129.36026919999995,경북,포항시 남구,경상북도 포항시 남구 포스코대로 340 (대도동),054-275-7937
25,포항대이,36.025372,129.339307,경북,포항시 남구,경상북도 포항시 남구 포스코대로 124 (대잠동),054-275-9853
26,포항이마트,35.991402,129.398459,경북,포항시 남구,"경상북도 포항시 남구 냉천로 10, 이마트 포항점 1층 (인덕동)",054-275-8613
27,포항애비뉴,36.013016,129.34869,경북,포항시 남구,경상북도 포항시 남구 중흥로 77 (상도동) 밸류플러스복합빌딩,054-272-0671
28,포항시청,36.018247,129.342089,경북,포항시 남구,경상북도 포항시 남구 시청로 5 (대잠동),054-272-9737
29,문경새재,36.759398,128.077572,경북,문경시,경상북도 문경시 새재로 906 (문경읍),054-571-5760
30,김천구미역,36.116366,128.181653,경북,김천시,경상북도 김천시 혁신3로 26 (율곡동),054-435-3341
31,김천시청DT,36.132504,128.11759,경북,김천시,경상북도 김천시 시청로 47 (대신동),054-431-2215
32,안동시청,36.5663574,128.7311385,경북,안동시,경상북도 안동시 서동문로 173 (삼산동),054-854-8907
33,안동옥동,36.563324,128.70213,경북,안동시,경상북도 안동시 경북대로 379 (옥동),054-857-9821
34,포항장성DT,36.074535,129.384214,경북,포항시 북구,경상북도 포항시 북구 새천년대로 1255 (장성동),054-241-3349
35,포항양덕,36.0815505,129.3981614,경북,포항시 북구,경상북도 포항시 북구 장량로 162 (양덕동),054-253-9890
36,포항중앙,36.038713,129.364099,경북,포항시 북구,경상북도 포항시 북구 불종로 41 (신흥동),054-252-8744
37,포항영일대비치,36.0549919,129.37698060000002,경북,포항시 북구,경상북도 포항시 북구 삼호로 186 (항구동),054-232-8366
