,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,광주운남DT,35.175136,126.818062,광주,광산구 ,광주광역시 광산구 임방울대로 156 (운남동),062-953-3621
1,광주산정DT,35.173524,126.804191,광주,광산구 ,광주광역시 광산구 용아로 342 (산정동),062-954-3595
2,광주흑석DT,35.176936,126.807887,광주,광산구 ,광주광역시 광산구 사암로 367 (산정동),062-954-3446
3,광주송정역,35.138026,126.791444,광주,광산구 ,광주광역시 광산구 상무대로205번길 6 (송정동),062-942-3360
4,광주수완DT,35.203175,126.819065,광주,광산구 ,광주광역시 광산구 임방울대로 487 (수완동),062-952-3291
5,광주신가DT,35.1790467,126.8301259,광주,광산구 ,광주광역시 광산구 목련로 335 (신가동),062-962-6855
6,광주쌍암,35.2192427,126.84242110000002,광주,광산구 ,광주광역시 광산구 첨단중앙로 158 (쌍암동),062-972-9805
7,광주장덕,35.191469,126.819259,광주,광산구 ,광주광역시 광산구 장신로 85 (장덕동),062-959-8706
8,광주하남,35.162722,126.810218,광주,광산구 ,"광주광역시 광산구 사암로216번길 38-16, 1~2층 (우산동)",062-959-8679
9,광주첨단,35.214806,126.843227,광주,광산구 ,광주광역시 광산구 첨단중앙로 104 (월계동),062-971-8719
10,광산수완,35.190397,126.824804,광주,광산구 ,"광주광역시 광산구 장신로 134, 1~2층 (수완동)",062-962-8384
11,광주주월DT,35.1341387,126.8981372,광주,남구,광주광역시 남구 회재로 1256 (주월동),062-673-3691
12,광주봉선로,35.124262,126.907898,광주,남구,광주광역시 남구 제석로 104 (봉선동),062-653-3591
13,광주서문대로,35.119448,126.898595,광주,남구,광주광역시 남구 서문대로 665 (진월동),062-672-3385
14,광주방림DT,35.13498,126.917698,광주,남구,광주광역시 남구 대남대로 67 (방림동),062-654-3277
15,광주봉선중앙,35.1254197,126.9112507,광주,남구,광주광역시 남구 봉선중앙로 51 (봉선동),062-653-7844
16,광주진월,35.125781,126.897221,광주,남구,광주광역시 남구 서문대로 745 (주월동),062-675-9556
17,광주봉선,35.122921,126.914111,광주,남구,"광주광역시 남구 봉선로 176, 1층 101,111호 (봉선동)",062-651-8363
18,광주지산유원지입구,35.154459,126.940912,광주,동구,광주광역시 동구 무등로 592 (산수동),062-223-3537
19,광주황금,35.1473572,126.9145683,광주,동구,광주광역시 동구 중앙로160번길 14 (황금동),062-233-7854
20,광주무등산,35.133909,126.954311,광주,동구,광주광역시 동구 증심사길 16 (운림동),062-223-8710
21,충장서림,35.14808817,126.9173077,광주,동구,광주광역시 동구 충장로 93-5 (금남로2가),062-233-1849
22,광주충장로,35.149486,126.914792,광주,동구,광주광역시 동구 충장로 65 (충장로3가),062-224-8344
23,충장일가,35.146797,126.918252,광주,동구,광주광역시 동구 서석로 43 (충장로1가),062-223-8432
24,조선대,35.144608,126.930183,광주,동구,광주광역시 동구 지산로 3 (서석동),062-222-9574
25,광주신안DT,35.171678,126.894998,광주,북구,광주광역시 북구 서암대로 93 (신안동),062-511-3594
26,광주매곡DT,35.189836,126.898698,광주,북구,광주광역시 북구 설죽로 339 (매곡동),062-573-3454
27,광주두암타운,35.162112,126.937388,광주,북구,광주광역시 북구 삼정로 4 (두암동),062-252-3427
28,광주일곡,35.205463,126.898114,광주,북구,광주광역시 북구 설죽로 518 (일곡동),062-575-3394
29,광주북구청,35.17483,126.914469,광주,북구,광주광역시 북구 서방로9번길 30 (중흥동),062-251-3202
30,광주운암DT,35.1776306,126.87841320000007,광주,북구,광주광역시 북구 북문대로 78 (운암동),062-511-8950
31,광주첨단신용,35.20701,126.864115,광주,북구,광주광역시 북구 첨단연신로 101 (신용동),062-572-9949
32,광주용두DT,35.212837,126.868485,광주,북구,광주광역시 북구 임방울대로 1016 (신용동),062-574-1911
33,전남대,35.17719867,126.9124787,광주,북구,"광주광역시 북구 우치로 110, 1,2,3층 (용봉동)",062-251-0604
34,광주용봉,35.178664,126.895196,광주,북구,광주광역시 북구 저불로 45 (용봉동),062-523-8471
35,광주신세계DT,35.1563,126.8831,광주,서구,광주광역시 서구 죽봉대로 33 (화정동),062-352-3682
36,광주상무DT,35.1502,126.855,광주,서구,광주광역시 서구 상무대로 847 (쌍촌동),062-373-3685
37,광주화정DT,35.152205,126.879997,광주,서구,광주광역시 서구 상무대로 1080,062-362-3539
38,광주상무중앙로,35.151021,126.848815,광주,서구,광주광역시 서구 상무중앙로 46 (치평동) 1층,062-375-3326
39,광주상무시민로,35.154963,126.854437,광주,서구,광주광역시 서구 운천로 253 (치평동) 103호,062-371-3264
40,광주풍암,35.1268447,126.8796486,광주,서구,광주광역시 서구 풍암2로 8 (풍암동) 한아름빌딩,062-674-3203
41,광주금호DT,35.1421126,126.85766460000002,광주,서구,광주광역시 서구 운천로 107 (쌍촌동),062-381-7905
42,광주상무대교,35.1551,126.848788,광주,서구,"광주광역시 서구 상무중앙로 90, 눈높이상무센터 1층 (치평동)",062-372-8684
43,광주동림,35.171734,126.86618,광주,서구,"광주광역시 서구 하남대로 672-1, 1층 (동천동)",062-514-3667
44,신세계광주,35.160794,126.882542,광주,서구,광주광역시 서구 무진대로 932 번지 신세계 백화점 1층,062-360-1137
45,광주상무,35.1536205,126.84795429999997,광주,서구,광주광역시 서구 상무중앙로 75 (치평동),062-385-8040
46,상무치평,35.151968,126.853423,광주,서구,"광주광역시 서구 상무자유로 173, 1층 (치평동)",062-375-8381
47,상무역,35.147468,126.847989,광주,서구,"광주광역시 서구 상무중앙로 7, 1층 (치평동)",062-381-8393
48,신세계광주신관B1,35.158806,126.882069,광주,서구,"광주광역시 서구 죽봉대로 61, 패션스트리트 B01호 (화정동)",062-352-8437
