,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,계명대동산병원,35.853811,128.480276,대구,달서구,대구광역시 달서구 달구벌대로 1035 (신당동),053-584-3740
1,대구죽전역,35.848437,128.536007,대구,달서구,대구광역시 달서구 와룡로 169 ,053-552-3634
2,대구월곡DT,35.814866,128.541057,대구,달서구,대구광역시 달서구 월곡로 225 (상인동),053-637-3568
3,대구광장,35.85577,128.552811,대구,달서구,대구광역시 달서구 달구벌대로 1710 (두류동),053-622-3607
4,대구월촌역,35.824025,128.545226,대구,달서구,대구광역시 달서구 월배로 315 (송현동),053-622-3542
5,대구진천역,35.814395,128.524377,대구,달서구,대구광역시 달서구 월배로 91 (진천동),053-644-3317
6,대구도원DT,35.807727,128.548117,대구,달서구,대구광역시 달서구 상화로 314 (도원동),053-637-3256
7,대구월성,35.824362,128.525418,대구,달서구,대구광역시 달서구 조암로 41 (월성동),053-632-3360
8,대구이곡,35.8551616,128.50411009999993,대구,달서구,대구광역시 달서구 계대동문로 108,053-586-6798
9,대구수목원,35.807237,128.520278,대구,달서구,대구광역시 달서구 화암로 379,053-638-3255
10,대구성서IC DT,35.8507998,128.52026039999998,대구,달서구,대구광역시 달서구 달구벌대로 1393,053-592-8990
11,대구감삼DT,35.8443842,128.5366553,대구,달서구,대구광역시 달서구 와룡로 131 ,053-567-8932
12,대구상인역,35.8182768,128.53656920000003,대구,달서구,대구광역시 달서구 월배로 210 (상인동),053-642-8936
13,대구두류DT,35.858804,128.561685,대구,달서구,대구광역시 달서구 달구벌대로 1798 (두류동),053-622-7851
14,대구상인DT,35.822408,128.533771,대구,달서구,대구광역시 달서구 월곡로 334 (상인동),053-638-9831
15,대구계명대,35.85567272,128.4937254,대구,달서구,대구광역시 달서구 계대동문로 13 (신당동),053-583-8301
16,대구성서,35.855292,128.510127,대구,달서구,"대구광역시 달서구 이곡공원로 26, 이곡메디컬빌딩 (이곡동)",053-583-8474
17,대구서부정류장역,35.837881,128.556926,대구,달서구,대구광역시 달서구 구마로 265 (성당동),053-624-8543
18,신세계대구3F(티바나),35.877767,128.628498,대구,동구,대구광역시 동구 동부로 149 신세계백화점 대구점 3층,053-661-6344
19,신세계대구8FR,35.877812,128.628453,대구,동구,대구광역시 동구 동부로 149 신세계백화점 대구점 8층,053-661-6887
20,동대구로DT,35.8680868,128.62715890000004,대구,동구,대구광역시 동구 동대구로 422 (신천동),053-756-3217
21,대구팔공산,35.9878685,128.636347,대구,동구,대구광역시 동구 파계로 650,053-986-8895
22,대구봉무,35.921942,128.639708,대구,동구,대구광역시 동구 팔공로51길 15-11  (봉무동),053-986-7768
23,동대구터미널,35.876315,128.62859,대구,동구,대구광역시 동구 동부로30길 12 (신천동),053-742-8417
24,대구동촌유원지,35.88011,128.653159,대구,동구,대구광역시 동구 효동로2길 45 (효목동),053-939-8564
25,반야월이마트,35.870899,128.727397,대구,동구,"대구광역시 동구 안심로 389-2, 이마트 1층 (신서동)",053-965-8389
26,대구평리DT,35.866138,128.555343,대구,서구,대구광역시 서구 서대구로 89 (평리1동),053-521-8996
27,대구수성도서관DT,35.873059,128.638985,대구,수성구,대구광역시 수성구 화랑로 112 (만촌동),053-744-3614
28,대구범어네거리R,35.857871,128.625094,대구,수성구,대구광역시 수성구 동대구로 305 (범어동),053-753-3652
29,대구수성호수R,35.826126,128.615912,대구,수성구,대구광역시 수성구 용학로 56 (두산동),053-765-3327
30,대구수성동,35.853776,128.620304,대구,수성구,대구광역시 수성구 명덕로 460 (수성동3가),053-768-3512
31,대구수성네거리DT,35.86058,128.617977,대구,수성구,대구광역시 수성구 들안로 342 (수성동4가),053-755-3286
32,대구중동DT,35.847384,128.612529,대구,수성구,대구광역시 수성구 수성로 243 (중동),053-764-3435
33,대구중동네거리DT,35.840917,128.613963,대구,수성구,대구광역시 수성구 청수로 51 (중동),053-762-3284
34,대구상동DT,35.8296424,128.6116932,대구,수성구,대구광역시 수성구 무학로 29(상동),053-768-1997
35,대구황금DT,35.839069,128.625797,대구,수성구,대구광역시 수성구 청수로 164 (지산동),053-767-3226
36,대구삼성화재,35.8661924,128.62626260000002,대구,수성구,대구광역시 수성구 동대구로 401 (범어동) 삼성화재사옥,053-752-8947
37,대구시지,35.8394934,128.7080427,대구,수성구,대구광역시 수성구 달구벌대로 3216 (신매동),053-795-7879
38,대구법원,35.8641739,128.62738279999996,대구,수성구,대구광역시 수성구 동대구로 376 (범어동),053-745-8673
39,대구만촌DT,35.856431,128.6502,대구,수성구,"대구광역시 수성구 달구벌대로 2636, , 853-25번지 (만촌동)",053-745-8619
40,대구수성하이츠,35.8609096,128.61352710000006,대구,수성구,"대구광역시 수성구 수성로 393, 수성하이츠 1층 (수성동4가)",053-754-8662
41,동아수성,35.82124651,128.6406389,대구,수성구,"대구광역시 수성구 지범로 191, 동아백화점수성점 1,2 층 (범물동)",053-782-1875
42,수성리더스,35.83871,128.62304229999995,대구,수성구,대구광역시 수성구 동대구로 95 (두산동),053-763-8411
43,수성레이크,35.825764,128.621814,대구,수성구,대구광역시 수성구 수성못길 4 (두산동),053-761-8413
44,대구범어제니스,35.859274,128.629687,대구,수성구,"대구광역시 수성구 달구벌대로 2435, 두산위브더제니스아파트 상가 1층 110호 (범어동)",053-743-9536
45,대구시티센터,35.870954,128.598092,대구,중구,대구광역시 중구 국채보상로 611 (문화동),053-423-3546
46,대구계산,35.866429,128.589696,대구,중구,대구광역시 중구 달구벌대로415길 1 (계산동2가),053-254-3410
47,대구중앙로역,35.870674,128.594374,대구,중구,대구광역시 중구 국채보상로 582 (남일동),053-424-3326
48,대구공평DT,35.8691866,128.6006466,대구,중구,대구광역시 중구 국채보상로 642 (동인동2가),053-257-9810
49,대구중앙로,35.867317,128.593375,대구,중구,대구광역시 중구 남성로 61 (동성로3가),053-257-8616
50,반월당,35.86616318,128.5918695,대구,중구,대구광역시 중구 달구벌대로 2085 (덕산동) 동아쇼핑,053-254-1840
51,동성로광장,35.867319,128.594217,대구,중구,대구광역시 중구 동성로 4 (동성로3가),053-427-8509
52,동성로중앙,35.867556,128.59666,대구,중구,대구광역시 중구 동성로5길 38 (삼덕동1가),053-256-8356
53,동성로로데오,35.86723,128.597862,대구,중구,대구광역시 중구 동성로5길 62 (삼덕동1가),053-421-8501
54,대구칠성DT,35.879674,128.596391,대구,북구,대구광역시 북구 중앙대로 524 (칠성동2가),053-424-3435
55,대구유통단지,35.905624,128.613347,대구,북구,대구광역시 북구 유통단지로8길 78 106호 (산격동),053-381-3373
56,대구칠곡대로DT,35.926583,128.547736,대구,북구,대구광역시 북구 칠곡중앙대로 348 (태전동),053-312-3220
57,대구동천,35.9425387,128.5604376,대구,북구,대구광역시 북구 동천로 123,053-326-8867
58,대구침산DT,35.8874784,128.59183759999996,대구,북구,대구광역시 북구 침산로 126 (침산동),053-352-8746
