,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,대전한남대DT,36.35849,127.42331,대전,대덕구,대전광역시 대덕구 한밭대로 1122 (중리동),042-626-3462
1,대전IC DT,36.354628,127.444318,대전,대덕구,대전광역시 대덕구 동서대로 1776 (비래동),042-621-9985
2,대전신탄진DT,36.44866030000001,127.41998309999997,대전,대덕구,대전광역시 대덕구 대덕대로 1544 (석봉동),042-933-3234
3,대전송촌,36.366313,127.437812,대전,대덕구,"대전광역시 대덕구 송촌북로36번길 36, 1층 (송촌동)",042-625-8671
4,대전판암DT,36.317013,127.453623,대전,동구,대전광역시 동구 옥천로 118 (판암동),042-283-3477
5,대전스타일마켓,36.3502842,127.43662219999999,대전,동구,"대전광역시 동구 동서대로 1689, 2층 (용전동)",042-615-1461
6,대전가오,36.3070199,127.4561304,대전,동구,대전광역시 동구 동구청로 101 (가오동),042-285-7448
7,대전터미널,36.349905,127.438064,대전,동구,대전광역시 동구 동서대로1695번길 4 (용전동),042-622-8578
8,대전정부청사역,36.35841,127.382495,대전,서구,대전광역시 서구 한밭대로 755 (둔산동),042-482-3626
9,대전건양대병원,36.30728,127.340876,대전,서구,대전광역시 서구 관저동로 170 (관저동)1층,042-542-3634
10,대전탄방역,36.343242,127.385313,대전,서구,대전광역시 서구 문정로2번길 95 (탄방동),042-484-3593
11,대전복수,36.298345,127.37824,대전,서구,대전광역시 서구 복수남로 28 (복수동),042-583-3547
12,대전둔산남로,36.348893,127.388665,대전,서구,대전광역시 서구 둔산남로 100 (탄방동),042-485-3466
13,대전둔산로,36.354233,127.377273,대전,서구,대전광역시 서구 대덕대로241번길 35 (둔산동),042-488-3291
14,대전법원,36.353315,127.387437,대전,서구,대전광역시 서구 둔산로123번길 43 (둔산동),042-471-3293
15,대전가수원DT,36.303755,127.348941,대전,서구,대전광역시 서구 계백로 1128 (가수원동),042-542-3241
16,대전수침교DT,36.3349683,127.39672889999997,대전,서구,대전광역시 서구 계룡로 692 (용문동),042-524-8926
17,대전관저,36.2986969,127.337762,대전,서구,대전광역시 서구 관저로 142 (관저동),042-542-9824
18,대전대덕로,36.353466,127.380591,대전,서구,대전광역시 서구 대덕대로234번길 18 (둔산동),042-482-9811
19,대전목원대,36.3318521,127.33854,대전,서구,대전광역시 서구 동서대로 682 (도안동),042-826-1815
20,대전둔산,36.3502188,127.3772612,대전,서구,대전광역시 서구 대덕대로 189 (둔산동),042-482-9791
21,대전만년,36.367606,127.382002,대전,서구,대전광역시 서구 만년로 81 (만년동),042-486-7836
22,대전시청사거리,36.348036,127.383509,대전,서구,대전광역시 서구 둔산남로 50 (탄방동),042-488-6778
23,대전월평,36.361008,127.377288,대전,서구,대전광역시 서구 청사로123번길 25 (월평동),042-482-7598
24,둔산은하수,36.3529477,127.3777879,대전,서구,"대전광역시 서구 둔산로31번길 28, 금정빌딩 1층 (둔산동)",042-487-8306
25,대전탄방,36.3463971,127.38788750000003,대전,서구,"대전광역시 서구 문정로 78, 정우빌딩 1층 (탄방동)",042-471-6284
26,대전시청역,36.35098154,127.3895116,대전,서구,대전광역시 서구 둔산로 142 (둔산동),042-485-8251
27,대전호텔,36.358982,127.387649,대전,서구,"대전광역시 서구 둔산중로134번길 13, 둔산관광호텔 (둔산동)",042-489-8357
28,월평트레이더스,36.3576398,127.36299469999994,대전,서구,대전광역시 서구 한밭대로 580 (월평동),042-471-9408
29,대전도안DT,36.351462,127.339981,대전,유성구,대전광역시 유성구 도안대로 573 (봉명동),042-823-6343
30,대전장대,36.361969,127.336261,대전,유성구,대전광역시 유성구 유성대로 781 (장대동),042-823-3492
31,대전유성구청,36.362206,127.357705,대전,유성구,대전광역시 유성구 어은로 42 (어은동),042-864-3352
32,대전지족,36.38720540000001,127.3175549,대전,유성구,대전광역시 유성구 지족로 373 (지족동),042-826-7987
33,대전유성,36.3545222,127.3395544,대전,유성구,대전광역시 유성구 온천서로 2 (봉명동),042-824-8913
34,대전전민,36.39943969999999,127.40052530000003,대전,유성구,대전광역시 유성구 유성대로 1722 (전민동),042-861-8963
35,대전관평동,36.4255141,127.39263,대전,유성구,대전광역시 유성구 태크노중앙로 68,042-934-9870
36,대전엑스포,36.3763115,127.3904691,대전,유성구,대전광역시 유성구 엑스포로 97번길 40,042-867-8873
37,대전노은,36.373444,127.319446,대전,유성구,"대전광역시 유성구 은구비남로33번길 26, 1~2층 (지족동)",042-826-9686
38,충남대정문,36.36066,127.34464,대전,유성구,대전광역시 유성구 대학로 82 (궁동),042-824-8763
39,대전테크노밸리,36.424826,127.389441,대전,유성구,대전광역시 유성구 테크노4로 105 (관평동),042-931-8522
40,대전대사DT,36.318823,127.417463,대전,중구,대전광역시 중구 계룡로 949 (대사동),042-223-3328
41,대전태평,36.323298,127.393417,대전,중구,대전광역시 중구 태평로 71 (태평동),042-524-3326
42,대전유천DT,36.3182966,127.3982383,대전,중구,대전광역시 중구 계백로 1604 (유천동),042-582-3213
43,대전중앙로역,36.327962,127.426603,대전,중구,대전광역시 중구 대종로 486 (은행동),042-226-8735
44,대전세이1층,36.320476,127.40852,대전,중구,"대전광역시 중구 계백로 1700, 외 4필지 세이백화점 신관 (문화동)",042-221-8596
45,은행동,36.32907873,127.4276569,대전,중구,대전광역시 중구 중앙로 164 (은행동),042-253-5910
46,대전세이,36.320472,127.408522,대전,중구,"대전광역시 중구 계백로 1700, 5층 (문화동)",042-252-8327
