,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,금정구청DT,35.238784,129.092964,부산,금정구,부산광역시 금정구 중앙대로 1730 (부곡동),051-583-3497
1,온천장역DT,35.224006,129.08656,부산,금정구,부산광역시 금정구 식물원로 13 (장전동),051-583-3424
2,부산외대,35.2640133,129.0847552,부산,금정구,부산광역시 금정구 금샘로 459,051-515-8906
3,부산대정문,35.232107,129.084565,부산,금정구,부산광역시 금정구 부산대학로64번길 12 (장전동),051-514-9770
4,부산대역,35.230722,129.088165,부산,금정구,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)",051-583-8609
5,부산대,35.2306157,129.0866474,부산,금정구,"부산광역시 금정구 금정로68번길 2, 건우빌딩 (장전동)",051-517-1794
6,금정이마트,35.250184,129.090774,부산,금정구,부산광역시 금정구 중앙대로1841번길 24 (구서동),051-514-8412
7,용호동W스퀘어,35.134025,129.113248,부산,남구,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호",051-611-3604
8,동명대DT,35.123153,129.099223,부산,남구,부산광역시 남구 신선로 423 (용당동),051-611-4335
9,BIFC Mall,35.1470479,129.06594129999996,부산,남구,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터,051-633-8916
10,대연힐스테이트,35.140143,129.104247,부산,남구,부산광역시 남구 수영로 345 대연힐스테이트 115동 121호,051-623-7863
11,부산대연역,35.135032,129.093041,부산,남구,"부산광역시 남구 수영로 240-1, 1층 (대연동)",051-621-5676
12,경성대,35.13742382,129.1009316,부산,남구,부산광역시 남구 수영로 312 (대연동),051-610-1898
13,범일교차로,35.1377843,129.0639376,부산,동구,부산광역시 동구 조방로 4 (범일동),051-639-8839
14,부산역,35.11631935,129.0407837,부산,동구,부산광역시 동구 중앙대로 216 (초량동),051-463-6511
15,서면중앙대로R,35.1530083,129.0596228,부산,부산진구,부산광역시 부산진구 중앙대로 672 (부전동) 1층 2층,051-804-3768
16,서면로R,35.155255,129.057651,부산,부산진구,부산광역시 부산진구 서면로 49-1 (부전동),051-804-3601
17,서면NC,35.157036,129.063029,부산,부산진구,부산광역시 부산진구 동천로 92 (전포동) NC백화점 1층,051-794-7401
18,양정역,35.1700743,129.06926269999997,부산,부산진구,부산광역시 부산진구 중앙대로 894 (양정동),051-865-8975
19,동의대역,35.155057,129.036202,부산,부산진구,부산광역시 부산진구 가야대로 589 (가야제1동),051-892-4260
20,부산개금역,35.152899,129.0226067,부산,부산진구,부산광역시 부산진구 가야대로 462 (개금동),051-897-7852
21,서면전포역,35.154345,129.063631,부산,부산진구,부산광역시 부산진구 전포대로199번길 27 (전포동),051-809-6828
22,부산서면중앙로,35.155521,129.058883,부산,부산진구,"부산광역시 부산진구 중앙대로 701, 1~3층 (부전동)",051-806-8677
23,서면서전로,35.157995,129.061744,부산,부산진구,부산광역시 부산진구 서전로 19 (부전동),051-807-8723
24,부산서면,35.154098,129.061562,부산,부산진구,부산광역시 부산진구 중앙대로692번길 46-10 (부전동),051-817-8638
25,서면역,35.1579735,129.05999229999998,부산,부산진구,부산광역시 부산진구 서전로 1 (부전동),051-805-8307
26,부전역,35.16183,129.061933,부산,부산진구,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)",051-930-1705
27,서면센트럴스퀘어,35.15151,129.061139,부산,부산진구,부산광역시 부산진구 중앙대로666번길 50 (부전동),051-807-8423
28,서면메디컬거리,35.157961,129.05740949999995,부산,부산진구,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)",051-806-8568
29,서면일번가,35.152955,129.057306,부산,부산진구,부산광역시 부산진구 서면로 25 (부전동),051-803-8554
30,서면중앙,35.156863,129.058076,부산,부산진구,부산광역시 부산진구 서면로68번길 1 (부전동),051-805-8367
31,서면트레이더스,35.163918,129.052684,부산,부산진구,부산광역시 부산진구 시민공원로 31 (부암동),051-803-8427
32,부산덕천역,35.210787,129.008358,부산,북구,부산광역시 북구 만덕대로 30 (덕천동),051-341-6701
33,부산화명역,35.233829,129.013106,부산,북구,부산광역시 북구 금곡대로285번길 5 (화명동),051-363-8639
34,사상주례DT,35.154847,128.996302,부산,사상구,부산광역시 사상구 백양대로 520 (주례동),051-311-3634
35,동서대DT,35.150863,129.010026,부산,사상구,부산광역시 사상구 가야대로 338 (주례동),051-315-3422
36,사상역,35.164003,128.983473,부산,사상구,부산광역시 사상구 사상로 211 (괘법동),051-315-8410
37,다대포비치,35.049404,128.963569,부산,사하구,부산광역시 사하구 다대로 714 (다대동),051-261-3610
38,부산하단,35.1053448,128.9688718,부산,사하구,부산광역시 사하구 낙동대로 455 (하단동),051-204-3631
39,다대포DT,35.060973,128.975257,부산,사하구,부산광역시 사하구 다대로 493 (다대동),051-264-3432
40,을숙도강변DT,35.11526,128.959578,부산,사하구,부산광역시 사하구 하신번영로 381-6 (하단동),051-201-3262
41,부산동아대,35.113113,128.964925,부산,사하구,부산광역시 사하구 낙동대로550번길 14 (하단동) 1~3층,051-292-9820
42,부산괴정역,35.098451,128.994352,부산,사하구,부산광역시 사하구 사하로186번길 6 (괴정동),051-291-8563
43,하단중앙,35.106522,128.966103,부산,사하구,부산광역시 사하구 낙동남로 1411 (하단동),051-291-8491
44,연산시티타워,35.188225,129.080949,부산,연제구,부산광역시 연제구 중앙대로 1125 (연산동),051-851-3474
45,부산교대역,35.1964682,129.08097929999997,부산,연제구,부산광역시 연제구 명륜로 3 (거제제1동) 한양프라자,051-504-3226
46,부산연산역,35.1869475,129.0833335,부산,연제구,부산광역시 연제구 반송로 20 (연산동),051-867-9789
47,연산중앙로,35.185469,129.08067,부산,연제구,부산광역시 연제구 중앙대로 1091 (연산동),051-867-9804
48,부산교대,35.195708,129.077505,부산,연제구,부산광역시 연제구 교대로 20-2 (거제동),051-507-8722
49,자갈치역,35.098378,129.029716,부산,중구,부산광역시 중구 구덕로 54-1 (남포동5가),051-243-3405
50,국제시장,35.102783,129.028601,부산,중구,부산광역시 중구 대청로 80 (대청동3가),051-254-3476
51,부산중앙역,35.1050552,129.0359604,부산,중구,부산광역시 중구 중앙대로81번길 2 (중앙동4가),051-468-9807
52,BIFF광장,35.0989623,129.02805280000007,부산,중구,부산광역시 중구 비프광장로 25 (남포동3가),051-231-1966
53,남포동역,35.098311,129.035151,부산,중구,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)",051-256-8381
54,광복중앙로,35.10191,129.031055,부산,중구,부산광역시 중구 광복중앙로 28-1 (대청동2가),051-243-8473
55,동부산DT,35.184073,129.210875,부산,기장군,부산광역시 기장군 기장읍 기장해안로 56 ,051-723-3279
56,부산정관,35.321336,129.176983,부산,기장군,부산광역시 기장군 정관읍 정관로 579 ,051-728-2663
57,부산P.아울렛,35.325248,129.236612,부산,기장군,부산광역시 기장군 정관로 1133 (175호),051-940-1175
58,광안수변공원,35.153261,129.124656,부산,수영구,부산광역시 수영구 민락수변로 29 (민락동),051-758-3591
