,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,인천계양,37.5398491,126.7350019,인천,계양구,인천광역시 계양구 장제로 808 (계산동),032-552-8869
1,인천작전,37.527064,126.721981,인천,계양구,"인천광역시 계양구 계양대로 37, 1층 (작전동)",032-544-8599
2,인천학익DT,37.4403818,126.6627574,인천,미추홀구,인천광역시 미추홀구 매소홀로 368 (학익동),032-872-3506
3,인천용현DT,37.4523373,126.6325809,인천,미추홀구,인천광역시 미추홀구 아암대로 107 (용현동),032-885-3211
4,주안역,37.463837,126.68074,인천,미추홀구,"인천광역시 미추홀구 주안로 100, 1-2층 (주안동)",032-424-8322
5,인하대,37.451827,126.654969,인천,미추홀구,인천광역시 미추홀구 인하로 59 (용현동),032-868-8422
6,송림트레이더스,37.48307,126.66043,인천,동구,"인천광역시 동구 봉수대로 82, 이마트 트레이더스송림점1층 (송림동)",032-582-8630
7,인천갈산DT,37.5189106,126.7321159,인천,부평구,인천광역시 부평구 장제로 371 (갈산동),032-528-8917
8,인천삼산,37.507296,126.734181,인천,부평구,인천광역시 부평구 길주로 643 (삼산동),032-517-8812
9,부평사거리,37.493886,126.721952,인천,부평구,"인천광역시 부평구 부평문화로 52, 1~2층 (부평동)",032-528-8680
10,부평시장역,37.496786,126.72307,인천,부평구,"인천광역시 부평구 부평대로 60, 현대해상화재보험 1층 (부평동)",032-330-9755
11,부평,37.49158659,126.7244861,인천,부평구,인천광역시 부평구 경원대로 1397 (부평동),032-514-1823
12,부평로데오,37.49306528,126.7249329,인천,부평구,"인천광역시 부평구 시장로 21, 1-3층 (부평동)",032-504-8309
13,동암역,37.471537,126.702361,인천,부평구,"인천광역시 부평구 동암광장로 14, 1~2층 (십정동)",032-429-8376
14,부평역,37.491434,126.722134,인천,부평구,"인천광역시 부평구 경원대로 1377, 1-4층 (부평동)",032-502-8352
15,부평GM,37.512313,126.710236,인천,부평구,인천광역시 부평구 부평대로 233 (청천동),032-508-8463
16,인천스퀘어원,37.406269,126.683786,인천,연수구,인천광역시 연수구 청능대로 210 (동춘동),032-456-4488
17,인천동춘DT,37.41243,126.664447,인천,연수구,인천광역시 연수구 앵고개로 171 (동춘동),032-812-3607
18,인천송도,37.397041,126.651825,인천,연수구,"인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안)",032-833-3734
19,송도트리플R,37.380763,126.659213,인천,연수구,인천광역시 연수구 송도과학로16번길 33-1 (송도동),032-310-9370
20,인천송도DT,37.384821,126.644284,인천,연수구,인천광역시 연수구 하모니로 136 (송도동),032-833-3227
21,인천연수,37.415072,126.677781,인천,연수구,"인천광역시 연수구 용담로 115 (연수동) 105,106,203호",032-818-3307
22,송도캠퍼스타운역,37.387483,126.663494,인천,연수구,인천광역시 연수구 송도과학로27번길 55 (송도동) 롯데캠퍼스타운,032-814-3229
23,송도커넬워크,37.399483,126.636786,인천,연수구,인천광역시 연수구 아트센터대로 131 (송도동),032-858-9687
24,송도센트럴파크,37.39523,126.640539,인천,연수구,인천광역시 연수구 센트럴로 194 (송도동),032-834-8633
25,연수이마트,37.404386,126.681528,인천,연수구,인천광역시 연수구 경원대로 184 (동춘동),032-814-8328
26,검단사거리역,37.6025256,126.6574188,인천,서구,인천광역시 서구 완정로 172 (마전동),032-562-3660
27,인천청라센트럴,37.5343559,126.6492859,인천,서구,"인천광역시 서구 청라커낼로 300 (청라동, 청라센트럴에일린의뜰)",032-566-3728
28,인천당하DT,37.593418,126.675556,인천,서구,인천광역시 서구 원당대로 668 (당하동),032-566-7984
29,인천청라타워돔,37.533884,126.652098,인천,서구,인천광역시 서구 중봉대로 612번길 10-17,032-565-8967
