,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,전남광양DT,34.943156,127.69796,전남,광양시,전라남도 광양시 중마중앙로 143 ,061-795-3295
1,목포터미널DT,34.8101683,126.4169697,전남,목포시,전라남도 목포시 영산로 495,061-273-3718
2,목포하당,34.803958,126.419806,전남,목포시,전라남도 목포시 백년대로 293 (상동),061-285-3408
3,목포북항DT,34.8086337,126.37326580000001,전남,목포시,전라남도 목포시 고하대로 694 (산정동),061-274-3201
4,목포옥암,34.807386,126.4272671,전남,목포시,전라남도 목포시 백년대로375번길 1 (옥암동),061-287-8784
5,목포평화광장,34.796986,126.43495,전남,목포시,전라남도 목포시 미항로 137 (상동),061-283-9636
6,목포남악,34.8131423,126.4617254,전남,무안군,전라남도 무안군 남악3로82번길 11,061-283-8841
7,순천연향,34.952486,127.518861,전남,순천시,전라남도 순천시 연향번영길 118 (연향동),061-722-3393
8,순천신대,34.933509,127.550306,전남,순천시,전라남도 순천시 해룡면 향매로 97 ,061-723-3558
9,순천호수공원,34.968146,127.523261,전남,순천시,전라남도 순천시 왕지2길 17 (왕지동),061-723-3371
10,순천조례,34.971612,127.520805,전남,순천시,전라남도 순천시 비봉2길 9 (조례동),061-727-8404
11,여수해양공원,34.738437,127.744285,전남,여수시,전라남도 여수시 이순신 광장로 192,061-662-3677
12,여수웅천,34.746166,127.671046,전남,여수시,전라남도 여수시 예울마루로 37-53 (웅천동),061-683-3510
13,여수둔덕DT,34.768947,127.697469,전남,여수시,전라남도 여수시 좌수영로 482 (둔덕동),061-653-3261
14,여수여서,34.752883,127.704195,전남,여수시,전라남도 여수시 여문1로 49 (여서동),061-654-8727
15,여수여천,34.75984,127.667034,전남,여수시,전라남도 여수시 망마로 39 (학동),061-686-8452
16,전남나주,35.022514,126.788058,전남,나주시,전라남도 나주시 상야1길 21 (빛가람동),061-336-3276
