,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,익산모현,35.948353,126.942392,전북,익산시,전라북도 익산시 선화로 106 (모현동1가),063-837-3670
1,익산영등DT,35.959316,126.968766,전북,익산시,전라북도 익산시 무왕로 1005 (영등동),063-851-3341
2,익산영등,35.958206,126.973766,전북,익산시,전라북도 익산시 무왕로 1052 (영등동),063-836-7481
3,전주송천DT,35.867469,127.121929,전북,전주시 덕진구,전북 전주시  송천중앙로 228,063-278-3578
4,전주혁신도시,35.83811,127.059364,전북,전주시 덕진구,전라북도 전주시 덕진구 기지로 68 (중동),063-224-3577
5,전주덕진광장DT,35.842878,127.124205,전북,전주시 덕진구,전라북도 전주시 덕진구 기린대로 491 (덕진동1가),063-271-3481
6,전북대,35.8429149,127.12682289999998,전북,전주시 덕진구,전라북도 전주시 덕진구 명륜4길 12 (덕진동1가),063-251-8511
7,전주평화DT,35.788482,127.131075,전북,전주시 완산구,전라북도 전주시 완산구 모악로 4696 (평화동2가),063-226-3580
8,전주백제대로DT,35.814654,127.123414,전북,전주시 완산구,전라북도 전주시 완산구 백제대로 242 (중화산동2가),063-237-3457
9,전주효자DT,35.8058839,127.11108430000002,전북,전주시 완산구,전라북도 전주시 완산구 용머리로 7 (효자동1가),063-224-8973
10,전주서신,35.8345971,127.1161323,전북,전주시 완산구,전라북도 전주시 완산구 서신로 104 (서신동),063-252-8990
11,전주중화산,35.82509530000001,127.11695480000003,전북,전주시 완산구,전라북도 전주시 완산구 유연로 288 (중화산동2가),063-226-6939
12,전주홍산로,35.8148784,127.1064483,전북,전주시 완산구,전라북도 전주시 완산구 홍산로 238 (효자동2가),063-236-8897
13,전주한옥마을,35.8134452,127.1485323,전북,전주시 완산구,전라북도 전주시 완산구 팔달로 123 (전동),063-282-9882
14,전북도청,35.81559,127.109351,전북,전주시 완산구,전라북도 전주시 완산구 홍산중앙로 22 (효자동3가),063-228-8750
15,전주경원,35.819775,127.144494,전북,전주시 완산구,전라북도 전주시 완산구 전주객사4길 44-18 (고사동),063-287-8462
16,전북정읍DT,35.570273,126.851701,전북,정읍시,전라북도 정읍시 충정로 271 (수성동),063-532-3324
17,군산수송,35.964213,126.717207,전북,군산시,전라북도 군산시 수송로 195 (수송동),063-468-9454
18,군산대,35.945739,126.685965,전북,군산시,전라북도 군산시 황룡로 7 (미룡동),063-467-8540
