,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,제주신화월드R,33.302019,126.320592,제주,서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-29,064-908-1729
1,제주에듀시티,33.291788,126.284407,제주,서귀포시,제주특별자치도 서귀포시 대정읍 에듀시티로 36 ,064-792-3371
2,제주성산DT,33.44998,126.920605,제주,서귀포시,제주특별자치도 서귀포시 성산읍 일출로 80 ,064-782-3273
3,제주중문DT,33.2549983,126.41590589999998,제주,서귀포시,제주특별자치도 서귀포시 천제연로 95(색달동),064-738-8915
4,제주서귀포,33.24779669999999,126.5621036,제주,서귀포시,제주특별자치도 서귀포시 중정로 53 (서귀동),064-763-8707
5,제주송악산,33.206799,126.290035,제주,서귀포시,제주특별자치도 서귀포시 형제해안로 322 (상모리),064-792-8731
6,서귀포DT,33.2492775,126.50652289999994,제주,서귀포시,제주특별자치도 서귀포시 일주서로 11 (강정동),064-738-5943
7,성산일출봉,33.462865,126.935544,제주,서귀포시,"제주특별자치도 서귀포시 성산읍 일출로 284-5, 1,2층",064-782-8535
8,제주중문,33.251128,126.412752,제주,서귀포시,제주특별자치도 서귀포시 중문관광로110번길 32 (색달동),064-738-8510
9,제주시청,33.500516,126.529711,제주,제주시,제주특별자치도 제주시 중앙로 215 (이도이동),064-756-3511
10,제주함덕,33.542511,126.668567,제주,제주시,제주특별자치도 제주시 조천읍 조함해안로 522 ,064-783-3537
11,제주노형공원,33.481794,126.482523,제주,제주시,제주특별자치도 제주시 연북로 12 (노형동),064-746-3367
12,제주애월DT,33.47278,126.348739,제주,제주시,제주특별자치도 제주시 애월읍 애월해안로 376 ,064-799-3273
13,제주칠성,33.513349,126.5252435,제주,제주시,제주특별자치도 제주시 관덕로 55 (일도일동),064-757-9892
14,제주노형,33.4878111,126.4818612,제주,제주시,제주특별자치도 제주시 도령로 27 (노형동),064-745-8914
15,제주용담DT,33.512345,126.484564,제주,제주시,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스,064-745-9817
16,신제주이마트,33.484959,126.480478,제주,제주시,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)",064-748-8657
