,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,공주동학사DT,36.36336,127.2535628,충남,공주시,충청남도 공주시 반포면 동학사1로 114 ,042-822-3623
1,공주신관,36.474648,127.14003,충남,공주시,충청남도 공주시 번영1로 113 (신관동),041-881-8736
2,논산중앙,36.2012496,127.0899058,충남,논산시,충청남도 논산시 중앙로398번길 13-10,041-734-8961
3,서산예천DT,36.771727,126.440171,충남,서산시 ,충청남도 서산시 나무장1길 22 (예천동),041-668-3517
4,서산호수,36.776653,126.448646,충남,서산시 ,"충청남도 서산시 호수공원2로 33, 1~2층 (읍내동)",041-664-9685
5,천안신부R,36.819309,127.157715,충남,천안시 동남구,충청남도 천안시 동남구 만남로 43 (신부동),041-569-3717
6,천안청당,36.785895,127.157564,충남,천안시 동남구,충청남도 천안시 동남구 청수14로 102 (청당동),041-556-3495
7,천안안서,36.830087,127.179779,충남,천안시 동남구,충청남도 천안시 동남구 안서3길 3 (안서동),041-523-3423
8,천안IC DT,36.82025,127.1615,충남,천안시 동남구,충청남도 천안시 동남구 신부15길 3 (신부동),041-552-3242
9,천안신부동,36.81917993,127.1529981,충남,천안시 동남구,충청남도 천안시 동남구 만남로 9 (신안동),041-553-3720
10,천안서북이마트,36.838876,127.122399,충남,천안시 서북구,충청남도 천안시 서북구 삼성대로 20 (백석동),041-566-3828
11,천안불당DT,36.805399,127.10609,충남,천안시 서북구,충청남도 천안시 서북구 불당34길 2 (불당동),041-523-3657
12,천안서부대로DT,36.8035728,127.12717999999995,충남,천안시 서북구,충청남도 천안시 서북구 서부대로 405 (쌍용동),041-576-3647
13,천안시청,36.81609,127.107329,충남,천안시 서북구,충청남도 천안시 서북구 불당22대로 67 (불당동),041-561-3572
14,천안쌍용역,36.793123,127.12223,충남,천안시 서북구,충청남도 천안시 서북구 충무로 133 (쌍용동),041-575-3472
15,천안신불당,36.812323,127.108287,충남,천안시 서북구,충청남도 천안시 서북구 불당33길 24 (불당동),041-569-3390
16,천안성정DT,36.8253941,127.1403512,충남,천안시 서북구,충청남도 천안시 서북구 동서대로 154 (성정동),041-572-7858
17,천안불당,36.8100104,127.1109606,충남,천안시 서북구,충청남도 천안시 서북구 불당4로 91 (불당동),041-567-9886
18,천안두정,36.833981,127.134838,충남,천안시 서북구,충청남도 천안시 서북구 부성4길 3 (부성1동),041-556-7484
19,천안이마트,36.795879,127.127159,충남,천안시 서북구,충청남도 천안시 서북구 충무로 187 (쌍용동) 천안이마트 1층,041-577-8388
20,계룡대로DT,36.288381,127.244398,충남,계룡시,충청남도 계룡시 엄사면 번영로 6 ,042-551-3420
21,당진시곡DT,36.903029,126.683873,충남,당진시,충청남도 당진시 서해로 6283 (시곡동),041-358-3628
22,당진문예의전당,36.891205,126.638986,충남,당진시,"충청남도 당진시 시청1로 78, 1층 (읍내동)",041-357-8690
23,아산배방,36.774872,127.053978,충남,아산시,충청남도 아산시 배방읍 배방로 22 ,041-549-3696
24,아산탕정,36.798663,127.058333,충남,아산시,충청남도 아산시 탕정면 탕정면로 10 ,041-544-3486
25,아산용화,36.774397,127.008545,충남,아산시,충청남도 아산시 어의정로 117 (용화동),041-544-3386
26,아산터미널,36.783865,127.0162904,충남,아산시,충청남도 아산시 번영로 232 (모종동),041-543-8962
