,s_name,lat,lot,sido_name,gugun_name,doro_address,tel
0,청주용암DT,36.607867,127.503945,충북,청주시 상당구,충청북도 청주시 상당구 1순환로 1243 (용암동),043-288-3616
1,청주용담DT,36.634172,127.50511,충북,청주시 상당구,충청북도 청주시 상당구 산성로 129 (용담동),043-221-3441
2,청주서문,36.635373,127.486041,충북,청주시 상당구,충청북도 청주시 상당구 무심동로392번길 20 (서문동),043-224-8513
3,충주시청DT,36.9900658,127.9287563,충북,충주시,충청북도 충주시 국원대로 208-1 (금릉동),043-846-3441
4,충주터미널,36.980662,127.915191,충북,충주시,충청북도 충주시 봉계13길 2 (봉방동),043-843-3444
5,충주연수,36.982721,127.939889,충북,충주시,충청북도 충주시 계명대로 227 (연수동),043-846-8590
6,충주성서,36.970581,127.933058,충북,충주시,"충청북도 충주시 예성로 151 C&C몰 106호,107호 (성서동)",043-853-8572
7,제천DT,37.143691,128.213266,충북,제천시,충청북도 제천시 의림대로 181 (중앙로2가),043-642-3451
8,청주오송,36.629921,127.33282,충북,청주시 흥덕구,충청북도 청주시 흥덕구 오송읍 오송생명로 220 ,043-232-3491
9,청주봉명DT,36.646765,127.464772,충북,청주시 흥덕구,충청북도 청주시 흥덕구 1순환로 514 (봉명동),043-262-3165
10,청주강서,36.625422,127.430108,충북,청주시 흥덕구,충청북도 청주시 흥덕구 강서로 121 (강서동),043-237-8743
11,청주지웰시티,36.643359,127.427107,충북,청주시 흥덕구,충청북도 청주시 흥덕구 대농로 43 (복대동) 신영지웰시티 1차 상업시설,043-234-8385
12,현대충청,36.644407,127.426305,충북,청주시 흥덕구,충청북도 청주시 흥덕구 직지대로 308 (복대동),043-909-4077
13,청주터미널,36.626769,127.432035,충북,청주시 흥덕구,충청북도 청주시 흥덕구 풍산로 15 (가경동),043-232-8407
14,청주사직DT,36.635848,127.481034,충북,청주시 서원구,충청북도 청주시 서원구 사직대로 302 (사직동),043-260-3616
15,청주성화,36.6176114,127.44608549999998,충북,청주시 서원구,충청북도 청주시 서원구 복대로 5 (개신동),043-235-8964
16,충북대,36.633965,127.459715,충북,청주시 서원구,충청북도 청주시 서원구 내수동로 113 (사창동),043-272-8546
17,오창호수공원,36.712751,127.427283,충북,청주시 청원구,"충청북도 청주시 청원구 오창읍 중심상업1로 20 101,102,103,104호",043-216-3347
18,청주율량DT,36.66623,127.493207,충북,청주시 청원구,충청북도 청주시 청원구 충청대로107번길 8 (율량동),043-211-8978
19,오창과학단지,36.716466,127.423272,충북,청주시 청원구,충청북도 청주시 청원구 오창읍 과학산업2로 385 385,043-216-8612
